SiO2,TiO2,Al2O3,MnO,MgO ,CaO,Na2O,K2O,P2O5,Name,Basalt,Gabbro,Granite
71.56,0.54,14.45,0.04,1.11,2.12,3.44,4.04,0.1,Granite,0,0,1
71.69,0.48,13.91,0.08,0.94,2.25,3.13,4.43,0.08,Granite,0,0,1
72.32,0.42,14.5,0.07,0.84,1.22,3.96,4.16,0.08,Granite,0,0,1
72.71,0.39,14.26,0.05,0.8,1.93,3.26,4.07,0.08,Granite,0,0,1
72.99,0.39,13.83,0.03,0.67,2,3.2,4.42,0.06,Granite,0,0,1
75.22,0.31,13.45,0.04,0.47,1.53,3.06,4.38,0.06,Granite,0,0,1
75.89,0.33,13.22,0.04,0.21,0.29,3.84,4.24,0.05,Granite,0,0,1
70.4,0.55,14.16,0.08,0.61,2.36,4.31,2.88,0.1,Granite,0,0,1
70.09,0.6,14.45,0.07,1.22,2.59,4.04,3.54,0.1,Granite,0,0,1
71.76,0,13.59,0.03,0.53,1.52,4.76,4.1,0.03,Granite,0,0,1
76.01,0.16,12.83,0.02,0.14,1,3.69,4.88,0.03,Granite,0,0,1
76.98,0.13,12.74,0.02,0.42,0.61,2.97,5.05,0.02,Granite,0,0,1
77.24,0.11,12.84,0.01,0.1,0.71,3.05,5.21,0.01,Granite,0,0,1
77.51,0.1,12.99,0.01,0.29,0.47,2.89,5.27,0.01,Granite,0,0,1
77.64,0.07,12.29,0.01,0,0.57,3.06,5.57,0.01,Granite,0,0,1
77.96,0.09,12.62,0.02,0.03,0.86,3.51,4.37,0.01,Granite,0,0,1
77.99,0.08,12.62,0.01,0,0.55,3.38,4.89,0.01,Granite,0,0,1
78.14,0.06,12.6,0.01,0,0.36,3.27,5.1,0,Granite,0,0,1
70.01,0.42,15.45,0.04,0.72,3.03,4.65,2.47,0.11,Granite,0,0,1
70,0.32,15.12,0.04,0.5,3.42,4.43,2.72,0.08,Granite,0,0,1
70.36,0.32,14.85,0.05,1.11,2.57,4.7,3.05,0.08,Granite,0,0,1
70.43,0.42,15.51,0.04,0.63,2.72,4.18,2.51,0.11,Granite,0,0,1
70.61,0.4,15.72,0.04,0.74,2.97,4.42,2.35,0.1,Granite,0,0,1
70.62,0.37,15.1,0.07,1.03,2.61,4.41,2.5,0.09,Granite,0,0,1
70.63,0.39,14.76,0.06,0.57,2.21,4.7,3.49,0.1,Granite,0,0,1
70.71,0.41,14.87,0.06,0.6,2.74,4.22,2.92,0.1,Granite,0,0,1
71,0.34,15.03,0.04,0.45,2.61,4.41,3,0.08,Granite,0,0,1
71.27,0.32,14.59,0.06,0.58,2.28,4.12,3.19,0.08,Granite,0,0,1
71.35,0.3,15.09,0.05,0.44,2.49,4.65,3,0.07,Granite,0,0,1
71.35,0.36,15.25,0.04,0.59,2.79,4.05,2.72,0.09,Granite,0,0,1
71.36,0.28,15.09,0.05,0.97,2.01,3.9,3.75,0.06,Granite,0,0,1
71.42,0.38,14.95,0.03,0.74,3.1,3.95,2.64,0.09,Granite,0,0,1
71.47,0.31,14.86,0.04,0.83,1.84,4.15,3.23,0.07,Granite,0,0,1
71.63,0.33,15.08,0.04,0.44,2.58,4.44,2.66,0.08,Granite,0,0,1
71.65,0.32,14.99,0.04,0.46,2.76,3.95,2.98,0.08,Granite,0,0,1
71.66,0.31,14.97,0.05,0.4,1.98,4.4,3.52,0.07,Granite,0,0,1
71.66,0.38,15.41,0.05,0.39,2.05,4.25,2.71,0.09,Granite,0,0,1
71.72,0.31,14.74,0.04,0.88,1.82,4.28,3.12,0.07,Granite,0,0,1
71.74,0.29,15.33,0.03,0.45,2.9,4,3.36,0.06,Granite,0,0,1
71.91,0.29,14.77,0.04,0.39,2.35,4.43,3.03,0.07,Granite,0,0,1
71.99,0.28,14.84,0.04,0.45,2.27,4.52,3.02,0.06,Granite,0,0,1
72.07,0.3,14.65,0.04,0.39,2.14,4.22,3.34,0.08,Granite,0,0,1
72.09,0.3,14.41,0.05,0.38,2.25,4.34,3.19,0.07,Granite,0,0,1
72.16,0.29,14.86,0.04,0.38,1.51,4.75,3.04,0.07,Granite,0,0,1
72.21,0.31,14.68,0.04,0.37,2.03,4.27,3.15,0.07,Granite,0,0,1
72.21,0.28,14.8,0.03,0.38,2.54,4.06,2.94,0.07,Granite,0,0,1
72.31,0.3,14.37,0.05,0.36,2,4.3,3.24,0.07,Granite,0,0,1
72.29,0.34,15.02,0.03,0.48,2.21,4.04,2.87,0.09,Granite,0,0,1
72.35,0.34,15.14,0.04,0.45,1.94,4.73,2.26,0.08,Granite,0,0,1
72.42,0.3,14.5,0.05,0.35,2.26,4.4,2.94,0.07,Granite,0,0,1
72.67,0.24,14.69,0.03,0.61,2.11,3.98,3.24,0.05,Granite,0,0,1
72.79,0.26,14.51,0.02,0.87,2.32,4.37,3.25,0.06,Granite,0,0,1
72.93,0.19,15.02,0.03,0.74,1.81,4.03,3.37,0.05,Granite,0,0,1
73.15,0.24,14.34,0.04,0.3,2,4.26,3.39,0.05,Granite,0,0,1
73.22,0.22,14.83,0.02,0.27,2.37,3.89,3.47,0.05,Granite,0,0,1
73.3,0.24,14.12,0.04,0.38,1.83,4.04,3.75,0.05,Granite,0,0,1
73.35,0.23,14.43,0.04,0.18,1.8,4.26,3.79,0.05,Granite,0,0,1
73.38,0.25,14.28,0.03,0.74,1.97,3.65,3.62,0.05,Granite,0,0,1
73.45,0.21,14.32,0.03,0.79,1.83,3.76,3.66,0.05,Granite,0,0,1
73.56,0.26,14.47,0.02,0.45,2.17,4.05,3.26,0.06,Granite,0,0,1
73.59,0.22,14.29,0.04,0.76,1.9,3.85,3.52,0.04,Granite,0,0,1
73.72,0.25,13.85,0.04,0.38,1.78,3.9,3.98,0.06,Granite,0,0,1
73.75,0.18,14.71,0.02,0.14,2.23,4.25,3.25,0.04,Granite,0,0,1
73.77,0.23,13.97,0.03,0.5,1.95,3.82,3.64,0.05,Granite,0,0,1
73.84,0.25,13.81,0.03,0.17,1.95,3.86,3.88,0.07,Granite,0,0,1
73.85,0.2,14.08,0.04,0.58,1.68,3.69,4.03,0.04,Granite,0,0,1
73.94,0.21,14.09,0.03,0.83,1.64,3.56,4,0.04,Granite,0,0,1
73.96,0.23,13.83,0.04,0.49,1.77,3.89,3.81,0.06,Granite,0,0,1
73.99,0.29,13.96,0.02,0.6,2,3.84,3.43,0.05,Granite,0,0,1
73.73,0.29,13.81,0.03,0.33,1.66,3.92,3.09,0.05,Granite,0,0,1
74.05,0.21,14.28,0.02,0.73,2.06,3.48,3.46,0.05,Granite,0,0,1
74.12,0.25,14.69,0.02,0.27,2.18,4.1,3.25,0.05,Granite,0,0,1
74.14,0.28,13.44,0.04,0.68,1.47,3.3,4.57,0.06,Granite,0,0,1
74.15,0.21,13.54,0.04,0.36,1.78,3.52,4.28,0.04,Granite,0,0,1
74.18,0.22,13.94,0.02,0.24,1.74,3.71,3.92,0.05,Granite,0,0,1
74.26,0.24,13.69,0.02,0.27,2.11,3.84,3.54,0.05,Granite,0,0,1
74.28,0.25,14.02,0.03,0.27,2.05,3.96,3.52,0.05,Granite,0,0,1
74.01,0.18,14.16,0.04,0.84,1.69,3.94,2.92,0.04,Granite,0,0,1
74.45,0.22,14.09,0.02,0.2,2.04,3.75,3.62,0.05,Granite,0,0,1
74.5,0.21,14.19,0.02,0.27,2.1,3.54,3.91,0.04,Granite,0,0,1
74.6,0.18,14.28,0.03,0.74,1.71,3.57,3.69,0.04,Granite,0,0,1
74.64,0.2,14.2,0.02,0.13,2.29,3.94,3.15,0.04,Granite,0,0,1
74.66,0.29,13.37,0.03,0.35,1.97,3.89,3.27,0.07,Granite,0,0,1
74.78,0.24,14.05,0.03,0.3,1.35,3.49,3.84,0.06,Granite,0,0,1
75.05,0.18,13.95,0.02,0.3,1.83,3.63,3.99,0.04,Granite,0,0,1
74.33,0.21,13.65,0.03,0.79,1.6,3.63,3.95,0.04,Granite,0,0,1
75.14,0.2,13.49,0.03,0.21,1.22,3.64,4.32,0.04,Granite,0,0,1
75.15,0.19,13.29,0.04,0.21,1.52,3.98,4.03,0.04,Granite,0,0,1
75.21,0.15,13.55,0.03,0.9,1.33,3.31,4.17,0.03,Granite,0,0,1
75.27,0.18,13.88,0.02,0.17,1.66,3.73,3.41,0.04,Granite,0,0,1
75.32,0.19,13.05,0.03,0.25,1.21,3.52,4.7,0.03,Granite,0,0,1
75.33,0.22,13.11,0.02,0.59,1.19,2.74,5.18,0.04,Granite,0,0,1
75.03,0.29,13.23,0.03,0.32,1.48,3.57,4.22,0.05,Granite,0,0,1
75.44,0.21,13.85,0.05,0.16,2.02,4.34,2.9,0.03,Granite,0,0,1
75.94,0.12,13.59,0.02,0.2,1.54,3.38,4.1,0.02,Granite,0,0,1
76.18,0.16,13.22,0.02,0.16,1.41,3.51,4.55,0.03,Granite,0,0,1
76.23,0.13,13.06,0.02,0.36,1.02,3.27,4.78,0.03,Granite,0,0,1
76.26,0.15,13.05,0.02,0.07,1.23,3.43,4.54,0.03,Granite,0,0,1
76.3,0.15,13.03,0.02,0.08,1.05,3.54,4.6,0.02,Granite,0,0,1
75.36,0.2,13.8,0.01,0.1,1.65,3.59,4.21,0.04,Granite,0,0,1
75.42,0.17,13.47,0.02,0.12,1.52,3.73,3.95,0.03,Granite,0,0,1
76.78,0.13,12.7,0.01,0.12,0.95,3.21,4.94,0.03,Granite,0,0,1
77.1,0.17,13.2,0.03,0.7,1.23,3.17,3.3,0.03,Granite,0,0,1
77.2,0.1,12.96,0.02,0.48,0.59,2.84,4.93,0.02,Granite,0,0,1
77.28,0.14,12.86,0.01,0.16,1.61,3.35,3.88,0.03,Granite,0,0,1
76.36,0.16,13.68,0.01,0.01,1.37,3.42,4.57,0.01,Granite,0,0,1
76.43,0.12,12.96,0.02,0.04,1,3.42,4.89,0.02,Granite,0,0,1
73.79,0.38,13.67,0.06,0.38,1.76,4.4,3.35,0.05,Granite,0,0,1
73.9,0.37,13.52,0.02,0.51,1.31,4.16,3.89,0.04,Granite,0,0,1
72.43,0.49,14.38,0.03,0.62,1.35,4.05,3.91,0.07,Granite,0,0,1
55.09,0.86,18.22,0.16,4.35,7.92,3.94,2.13,0.17,Granite,0,0,1
68.95,0.47,15.08,0.05,1.23,3.06,4.04,3.76,0.11,Granite,0,0,1
66.5,0.7,15.51,0.07,2.04,3.54,3.99,3.34,0.14,Granite,0,0,1
67.93,0.63,14.9,0.07,1.86,3.24,4.04,3.54,0.12,Granite,0,0,1
66.57,0.75,15.13,0.08,2,3.76,3.92,3.59,0.13,Granite,0,0,1
67.5,0.51,16.08,0.03,1.53,3.55,4.1,2.72,0.1,Granite,0,0,1
66.63,0.63,15.35,0.1,1.87,3.76,4.09,2.92,0.15,Granite,0,0,1
66.58,0.49,15.89,0.06,1.67,4,4.27,2.97,0.12,Granite,0,0,1
67.07,0.7,15.72,0.06,1.62,3.6,3.92,3.34,0.13,Granite,0,0,1
67.83,0.68,14.91,0.05,1.97,5.51,4.88,0.7,0.15,Granite,0,0,1
66.32,0.72,15.65,0.07,2.12,5.28,3.94,2.67,0.15,Granite,0,0,1
66.35,0.71,16.45,0.08,1.68,3.26,3.91,2.9,0.19,Granite,0,0,1
67.98,0.64,15.27,0.03,0.44,3.61,4.28,3.47,0.13,Granite,0,0,1
69,0.51,15.39,0.03,1.77,2.86,3.97,3.21,0.12,Granite,0,0,1
62.59,1.03,16.36,0.07,2.53,5.3,4.19,2.39,0.27,Granite,0,0,1
66.04,0.7,15.3,0.09,1.86,4.07,4.35,3.76,0.13,Granite,0,0,1
68.11,0.64,14.02,0.07,1.88,3.6,4.15,3.45,0.15,Granite,0,0,1
68.04,0.47,15.79,0.1,1.34,3.38,3.97,2.98,0.1,Granite,0,0,1
68.18,0.57,14.81,0.07,1.84,3.39,4.05,3.39,0.18,Granite,0,0,1
68.15,0.5,15.26,0.06,1.93,3.41,3.87,3.35,0.11,Granite,0,0,1
66.89,0.74,15.14,0.04,1.92,4.8,3.93,3.04,0.14,Granite,0,0,1
66.66,0.66,15.03,0.09,1.97,3.67,4.18,3.51,0.13,Granite,0,0,1
69.42,0.62,15.02,0.03,1.83,3.04,3.96,3.14,0.13,Granite,0,0,1
66.76,0.6,15.48,0.05,1.94,3.7,4.24,3.12,0.14,Granite,0,0,1
69.21,0.53,15.22,0.03,1.46,3.15,3.75,3.37,0.1,Granite,0,0,1
67.42,0.49,15.7,0.06,1.36,3.6,4.34,3.36,0.12,Granite,0,0,1
67.13,0.54,15.81,0.09,1.44,3.58,4.14,3.34,0.11,Granite,0,0,1
70.79,0.48,14.02,0.04,1.26,2.58,3.76,4.1,0.08,Granite,0,0,1
68.75,0.56,14.62,0.05,1.56,3.56,4.22,3.38,0.12,Granite,0,0,1
65.71,0.75,15.95,0.03,1.83,4.16,4.06,2.54,0.17,Granite,0,0,1
